payment_id,customer_id,merchant_id,amount,currency,payment_method,status,failure_reason,attempt_count,event_timestamp,customer_success_rate,previous_retry_success_rate,contact_count,actual_recovery_outcome
pay_100055,cust_0133,merchant_010,3547.33,INR,card,failed,bank_timeout,2,2026-02-04T21:24:00,0.35,0.89,1,1
pay_100056,cust_0022,merchant_015,13009.55,INR,netbanking,failed,bank_timeout,2,2026-03-15T15:21:00,0.29,0.12,1,1
pay_100057,cust_0284,merchant_008,17031.33,INR,wallet,failed,insufficient_funds,2,2026-05-08T23:43:00,0.69,0.29,0,1
pay_100058,cust_0274,merchant_010,508.83,INR,netbanking,failed,repeated_attempts,5,2026-05-13T14:48:00,0.96,0.61,0,0
pay_100059,cust_0186,merchant_006,11115.97,INR,upi,failed,network_error,3,2026-04-12T14:13:00,0.54,0.16,2,1
pay_100060,cust_0021,merchant_006,12611.73,INR,wallet,failed,repeated_attempts,3,2026-02-06T03:58:00,0.43,0.67,1,0
pay_100061,cust_0194,merchant_009,2191.27,INR,card,failed,authentication_failed,3,2026-04-27T18:53:00,0.89,0.56,2,0
pay_100062,cust_0122,merchant_019,2572.07,INR,netbanking,failed,blocked_payment,1,2026-03-08T22:37:00,0.48,0.15,0,0
pay_100063,cust_0067,merchant_010,19404.49,INR,upi,failed,blocked_payment,2,2026-06-11T10:26:00,0.42,0.86,2,0
pay_100064,cust_0156,merchant_014,14878.65,INR,upi,failed,payment_method_declined,4,2026-04-11T13:30:00,0.62,0.22,2,0
pay_100065,cust_0155,merchant_008,15611.91,INR,upi,failed,invalid_details,2,2026-04-29T13:15:00,0.47,0.86,1,1
pay_100066,cust_0182,merchant_018,19545.45,INR,upi,failed,bank_timeout,3,2026-06-24T04:59:00,0.84,0.16,2,1
pay_100067,cust_0235,merchant_016,12746.33,INR,upi,failed,bank_timeout,1,2026-02-06T20:52:00,0.37,0.72,1,1
pay_100068,cust_0282,merchant_015,5841.41,INR,upi,failed,network_error,4,2026-06-11T16:23:00,0.24,0.29,0,1
pay_100069,cust_0292,merchant_013,16984.31,INR,wallet,failed,repeated_attempts,1,2026-01-06T22:20:00,0.77,0.13,2,0
pay_100070,cust_0169,merchant_019,16486.68,INR,card,failed,repeated_attempts,2,2026-06-17T15:23:00,0.42,0.4,2,1
pay_100071,cust_0200,merchant_014,14435.34,INR,netbanking,failed,inactivity,5,2026-03-29T03:04:00,0.96,0.32,1,0
pay_100072,cust_0089,merchant_001,3272.49,INR,card,failed,blocked_payment,2,2026-05-08T20:39:00,0.44,0.1,0,0
pay_100073,cust_0004,merchant_005,10984.2,INR,wallet,failed,processing_error,2,2026-03-10T04:23:00,0.45,0.4,1,0
pay_100074,cust_0025,merchant_017,8038.94,INR,card,failed,processing_error,2,2026-04-14T04:20:00,0.86,0.64,1,1
pay_100075,cust_0162,merchant_011,19549.81,INR,upi,failed,payment_method_switch,4,2026-05-21T17:56:00,0.57,0.53,1,0
pay_100076,cust_0209,merchant_008,6888.44,INR,card,failed,bank_timeout,4,2026-06-26T22:51:00,0.97,0.75,0,1
pay_100077,cust_0225,merchant_011,10162.36,INR,card,failed,bank_timeout,4,2026-05-13T17:25:00,0.24,0.64,0,0
pay_100078,cust_0087,merchant_020,18491.18,INR,wallet,failed,inactivity,4,2026-02-20T10:16:00,0.98,0.46,1,0
pay_100079,cust_0266,merchant_016,11979.38,INR,netbanking,failed,payment_method_declined,4,2026-03-26T11:36:00,0.75,0.22,1,0
pay_100080,cust_0233,merchant_007,2513.96,INR,wallet,failed,payment_method_declined,4,2026-06-25T16:00:00,0.69,0.76,0,0
pay_100081,cust_0063,merchant_018,8650.0,INR,upi,failed,bank_timeout,1,2026-02-05T13:23:00,0.54,0.9,2,1
pay_100082,cust_0031,merchant_002,15363.26,INR,upi,failed,bank_timeout,2,2026-01-04T16:21:00,0.67,0.26,1,1
pay_100083,cust_0237,merchant_009,9577.74,INR,netbanking,failed,network_error,2,2026-05-18T03:27:00,0.94,0.95,2,1
pay_100084,cust_0298,merchant_002,16458.24,INR,card,failed,authentication_failed,1,2026-03-24T06:12:00,0.91,0.31,2,1
pay_100085,cust_0242,merchant_011,13113.15,INR,wallet,failed,payment_method_switch,3,2026-02-03T21:27:00,0.52,0.78,1,0
pay_100086,cust_0015,merchant_014,14263.51,INR,netbanking,failed,inactivity,5,2026-01-17T10:00:00,0.21,0.12,2,0
pay_100087,cust_0139,merchant_011,18362.91,INR,netbanking,failed,inactivity,3,2026-03-08T12:23:00,0.93,0.1,1,0
pay_100088,cust_0247,merchant_003,15801.26,INR,card,failed,authentication_failed,3,2026-01-15T08:08:00,0.68,0.3,2,1
pay_100089,cust_0284,merchant_009,16079.72,INR,wallet,failed,bank_timeout,2,2026-01-10T18:40:00,0.51,0.37,0,0
pay_100090,cust_0092,merchant_006,17571.08,INR,upi,failed,network_error,3,2026-03-10T15:19:00,0.71,0.84,0,1
pay_100091,cust_0148,merchant_012,11608.39,INR,card,failed,inactivity,3,2026-01-27T09:22:00,0.32,0.36,1,1
pay_100092,cust_0287,merchant_006,120.02,INR,card,failed,processing_error,4,2026-05-31T03:54:00,0.39,0.31,0,0
pay_100093,cust_0261,merchant_015,5687.68,INR,card,failed,processing_error,5,2026-02-09T01:55:00,0.5,0.22,0,0
pay_100094,cust_0175,merchant_015,15719.61,INR,card,failed,insufficient_funds,5,2026-05-11T03:21:00,0.38,0.74,0,0
pay_100095,cust_0224,merchant_001,1506.56,INR,card,failed,bank_timeout,1,2026-02-19T12:36:00,0.76,0.13,0,0
pay_100096,cust_0138,merchant_012,15606.97,INR,card,failed,bank_timeout,1,2026-05-12T15:57:00,0.27,0.16,0,0
pay_100097,cust_0040,merchant_012,3564.17,INR,netbanking,failed,insufficient_funds,4,2026-04-04T07:29:00,0.67,0.46,0,0
pay_100098,cust_0283,merchant_011,15001.27,INR,card,failed,inactivity,2,2026-02-06T12:05:00,0.44,0.14,2,1
pay_100099,cust_0084,merchant_016,16086.44,INR,card,failed,payment_method_declined,4,2026-02-08T11:29:00,0.29,0.83,2,1
pay_100100,cust_0136,merchant_003,15688.15,INR,card,failed,network_error,1,2026-06-15T14:58:00,0.34,0.46,2,0
